date,time,price,drink_name
2024-03-01,06:14,3.87,Dr Pepper
2024-03-01,11:10,3.87,Fanta
2024-03-01,11:19,3.87,Fanta
2024-03-01,11:37,2.89,Pepsi
2024-03-01,12:56,3.87,Dr Pepper
2024-03-01,13:50,3.38,Coke
2024-03-01,14:57,3.87,Fanta
2024-03-01,16:15,3.38,Coke
2024-03-01,16:31,3.87,A&W Root Beer
2024-03-01,16:38,3.38,Coke
2024-03-01,17:55,3.38,Coke
2024-03-02,06:57,2.89,Pepsi
2024-03-02,08:52,4.0,Dr Pepper
2024-03-02,08:56,3.38,Coke
2024-03-02,11:35,3.38,Coke
2024-03-02,13:15,2.89,Pepsi
2024-03-02,13:49,3.38,Coke
2024-03-02,14:16,2.89,Pepsi
2024-03-03,07:00,4.0,Dr Pepper
2024-03-03,07:21,3.87,Dr Pepper
2024-03-03,08:14,2.89,Mt Dew
2024-03-03,08:20,2.89,Pepsi
2024-03-03,09:17,3.87,Fanta
2024-03-03,10:44,3.87,A&W Root Beer
2024-03-03,11:18,2.89,Mt Dew
2024-03-03,13:23,3.38,Coke
2024-03-03,13:32,3.38,Coke
2024-03-03,16:52,3.87,Fanta
2024-03-04,07:14,3.87,Dr Pepper
2024-03-04,07:26,3.87,Dr Pepper
2024-03-04,09:56,3.38,Coke
2024-03-04,13:25,2.4,Ginger Ale
2024-03-05,06:52,3.87,Dr Pepper
2024-03-05,10:11,3.87,Dr Pepper
2024-03-05,12:43,3.87,Dr Pepper
2024-03-05,13:45,3.87,Fanta
2024-03-05,15:31,3.87,A&W Root Beer
2024-03-05,16:52,3.87,Fanta
2024-03-05,17:17,3.87,Fanta
2024-03-05,17:19,2.89,Mt Dew
2024-03-05,17:21,3.87,Fanta
2024-03-06,08:42,3.5,Coke
2024-03-06,10:59,2.89,Pepsi
2024-03-06,11:26,2.89,Mt Dew
2024-03-06,12:26,3.87,Sprite
2024-03-06,12:52,3.87,Sprite
2024-03-07,11:01,4.0,Dr Pepper
2024-03-07,12:37,3.87,Fanta
2024-03-07,14:14,3.87,Dr Pepper
2024-03-07,14:30,4.0,Dr Pepper
2024-03-07,14:39,2.89,Pepsi
2024-03-07,16:10,3.38,Coke
2024-03-08,07:53,2.89,Mt Dew
2024-03-08,11:22,3.87,Sprite
2024-03-08,12:40,2.89,Pepsi
2024-03-08,13:14,2.89,Pepsi
2024-03-08,14:52,2.89,Pepsi
2024-03-08,15:06,3.38,Coke
2024-03-08,16:28,3.87,Dr Pepper
2024-03-08,17:29,3.87,Dr Pepper
2024-03-09,06:16,4.0,Fanta
2024-03-09,07:18,2.4,Ginger Ale
2024-03-09,07:41,2.89,Pepsi
2024-03-09,07:54,3.87,Sprite
2024-03-09,08:11,2.89,Pepsi
2024-03-09,08:20,2.89,Pepsi
2024-03-09,09:45,3.87,Dr Pepper
2024-03-09,11:25,3.38,Coke
2024-03-09,13:28,2.89,Mt Dew
2024-03-09,13:36,3.87,Sprite
2024-03-09,14:11,3.38,Coke
2024-03-09,15:13,3.87,Fanta
2024-03-09,16:13,3.87,Sprite
2024-03-09,16:57,3.87,Fanta
2024-03-10,09:23,3.0,Pepsi
2024-03-10,11:45,3.5,Coke
2024-03-10,12:34,4.0,Dr Pepper
2024-03-10,14:40,2.4,Ginger Ale
2024-03-10,16:48,3.5,Coke
2024-03-10,17:22,3.87,Dr Pepper
2024-03-10,17:43,2.89,Mt Dew
2024-03-11,07:03,4.0,Dr Pepper
2024-03-11,07:40,4.0,Sprite
2024-03-11,08:22,3.0,Mt Dew
2024-03-11,08:56,3.0,Pepsi
2024-03-11,09:55,3.87,Sprite
2024-03-11,10:45,2.89,Pepsi
2024-03-11,13:33,3.87,Dr Pepper
2024-03-11,15:19,2.89,Mt Dew
2024-03-12,06:28,4.0,Dr Pepper
2024-03-12,07:41,2.89,Pepsi
2024-03-12,08:10,2.89,Mt Dew
2024-03-12,09:25,3.87,Fanta
2024-03-12,10:31,3.38,Coke
2024-03-12,14:33,2.89,Pepsi
2024-03-12,17:03,2.89,Pepsi
2024-03-13,06:02,3.87,Fanta
2024-03-13,07:47,2.89,Pepsi
2024-03-13,08:58,2.89,Pepsi
2024-03-13,11:29,2.89,Pepsi
2024-03-13,12:28,2.5,Ginger Ale
2024-03-13,13:56,3.38,Coke
2024-03-13,16:19,2.4,Ginger Ale
2024-03-13,16:57,2.4,Ginger Ale
2024-03-13,17:35,2.4,Ginger Ale
2024-03-14,06:39,4.0,Dr Pepper
2024-03-14,07:07,3.87,Dr Pepper
2024-03-14,08:44,3.87,Fanta
2024-03-14,10:14,2.89,Mt Dew
2024-03-14,11:10,2.89,Pepsi
2024-03-14,11:27,3.38,Coke
2024-03-14,12:34,2.4,Ginger Ale
2024-03-14,12:36,3.87,Dr Pepper
2024-03-14,15:24,3.38,Coke
2024-03-14,15:36,2.4,Ginger Ale
2024-03-14,16:55,3.87,Fanta
2024-03-14,17:48,2.89,Mt Dew
2024-03-15,08:30,4.0,Dr Pepper
2024-03-15,13:45,3.87,Fanta
2024-03-15,15:24,2.89,Pepsi
2024-03-16,08:30,3.38,Coke
2024-03-16,11:05,2.89,Pepsi
2024-03-16,13:07,2.89,Mt Dew
2024-03-16,13:29,2.89,Mt Dew
2024-03-16,14:18,2.89,Mt Dew
2024-03-16,15:13,3.38,Coke
2024-03-17,10:43,4.0,Dr Pepper
2024-03-17,15:18,2.89,Mt Dew
2024-03-18,06:31,2.89,Mt Dew
2024-03-18,11:27,2.89,Pepsi
2024-03-18,13:55,2.89,Pepsi
2024-03-18,16:56,2.89,Pepsi
2024-03-19,08:20,3.0,Mt Dew
2024-03-19,10:15,3.87,Dr Pepper
2024-03-19,11:28,3.87,Dr Pepper
2024-03-19,12:15,3.87,Fanta
2024-03-19,13:55,3.38,Coke
2024-03-19,14:37,4.0,Fanta
2024-03-20,07:40,2.89,Mt Dew
2024-03-20,08:19,4.0,Dr Pepper
2024-03-20,09:10,2.89,Mt Dew
2024-03-20,10:07,3.87,Sprite
2024-03-20,11:40,3.87,A&W Root Beer
2024-03-20,17:39,3.87,Dr Pepper
2024-03-21,06:23,4.0,Sprite
2024-03-21,07:10,2.89,Mt Dew
2024-03-21,08:17,3.87,Sprite
2024-03-21,12:11,3.0,Pepsi
2024-03-21,12:15,2.89,Mt Dew
2024-03-21,13:39,3.87,Dr Pepper
2024-03-22,08:35,3.38,Coke
2024-03-22,11:51,3.38,Coke
2024-03-22,12:23,4.0,Sprite
2024-03-22,12:52,2.89,Pepsi
2024-03-22,13:48,2.4,Ginger Ale
2024-03-22,14:06,2.89,Pepsi
2024-03-23,06:12,3.87,Dr Pepper
2024-03-23,06:59,3.38,Coke
2024-03-23,07:18,3.87,Sprite
2024-03-23,07:37,3.87,A&W Root Beer
2024-03-23,08:01,3.38,Coke
2024-03-23,14:43,3.87,Dr Pepper
2024-03-23,15:46,3.38,Coke
2024-03-23,16:29,2.89,Mt Dew
2024-03-24,10:12,4.0,Dr Pepper
